Use?,Why?,comp_ID,study_ID,dam_ID,animal_ID,author,year,title,journal,species,strain,manip_type,manip_direction,nom_manip_val,,,,nom_manip_val2,,,,intake_reported,vitmin_eql,adlib_con,adlib_exp,diet_con,diet_exp,dam_diet_start_dPC,dam_diet_end_dPC,diet_label,age_mating,n_con_dam,n_exp_dam,multi_use_con,dam_housing,temperature,photoperiod,litter_size,litter_size_equalized,crossfostered,sex,housing,bodyweight_mean_contr,bodyweight_SE_contr,bodyweight_mean_exp,bodyweight_SE_exp,bw_N_contr,bw_N_exp,bw_dayPG,birthweight_mean_contr,birthweight_SE_contr,birthweight_mean_exp,birthweight_SE_exp,birthweight_N_contr,birthweight_N_exp,offspring_diet,offspring_con_adlib,offspring_diet_level,offspring_diet_end_dPP,post_diet_adlib,response_age_dPP,author's behaviour,my behaviour,response_test,time_trial,measure,unit,high_better,night/day,comparison,exp_mean,exp_se,exp_n,con_mean,con_se,con_n,con_ID,d,se,percentage,Data_source,measure_comments,SE_imputed,Comments,suppl_files,weight,weightSE,birth,birthSE,initial_d,intialSE,final_d,finalSE
yes,,comp_17,s_01,D_02,A_02,Reyes-Castro,2012,Maternal protein restriction in the,J022,rats,Wistar,protein,-,50%,10%,20%,protein content,,,,,no,yes,yes,yes,Zeiger_Rodent_RQ22-21,Zeiger_Rodent_RQ22-5_LP_isoc,22,43,lact,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,190,6,10,10,90,5.6,0.05,5.6,0.05,16,16,20% casein control,yes,Zeiger_Rodent_RQ22-21,21,yes,90,EXPLORATION,ANXIETY,Open_Field,60,Border_zone_entries,#,no,night,cc-cr,39.49,6.28,8,55.64,5.83,8,con_06,,,no,Fig.2,,no,"learning data extracted by Katie. details of diet can be found in Zambrano et al. 2005. A maternal low protein diet.... The Journal of Physiology, 563: 275_300",,,,,,,,,
yes,,comp_18,s_01,D_03,A_03,Reyes-Castro,2012,Maternal protein restriction in the,J022,rats,Wistar,protein,-,50%,10%,20%,protein content,,,,,no,yes,yes,yes,Zeiger_Rodent_RQ22-22,Zeiger_Rodent_RQ22-5_LP_isoc,1,43,pre+lact,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,199,10,10,10,90,5.6,0.05,5.1,0.04,16,16,20% casein control,yes,Zeiger_Rodent_RQ22-22,21,yes,90,EXPLORATION,ANXIETY,Open_Field,60,Border_zone_entries,#,no,night,cc-rr,41.73,4.49,8,55.64,5.83,8,con_06,,,no,Fig.2,,no,"learning data extracted by Katie. details of diet can be found in Zambrano et al. 2005. A maternal low protein diet.... The Journal of Physiology, 563: 275_301",,,,,,,,,
yes,,comp_19,s_01,D_01,A_01,Reyes-Castro,2012,Maternal protein restriction in the,J022,rats,Wistar,protein,-,50%,10%,20%,protein content,,,,,no,yes,yes,yes,Zeiger_Rodent_RQ22-23,Zeiger_Rodent_RQ22-5_LP_isoc,1,22,pre,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,200,7,10,10,90,5.6,0.05,5.1,0.04,16,16,20% casein control,yes,Zeiger_Rodent_RQ22-23,1,yes,90,EXPLORATION,ANXIETY,Open_Field,60,Center_zone_time,sec,yes,night,cc-rc,131.85,26.75,8,200.64,26.75,8,con_07,,,no,Fig.2,,no,"learning data extracted by Katie. details of diet can be found in Zambrano et al. 2005. A maternal low protein diet.... The Journal of Physiology, 563: 275_302",,,,,,,,,
yes,,comp_20,s_01,D_02,A_02,Reyes-Castro,2012,Maternal protein restriction in the,J022,rats,Wistar,protein,-,50%,10%,20%,protein content,,,,,no,yes,yes,yes,Zeiger_Rodent_RQ22-24,Zeiger_Rodent_RQ22-5_LP_isoc,22,43,lact,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,190,6,10,10,90,5.6,0.05,5.6,0.05,16,16,20% casein control,yes,Zeiger_Rodent_RQ22-24,21,yes,90,EXPLORATION,ANXIETY,Open_Field,60,Center_zone_time,sec,yes,night,cc-cr,221.66,43.95,8,200.64,26.75,8,con_07,,,no,Fig.2,,no,"learning data extracted by Katie. details of diet can be found in Zambrano et al. 2005. A maternal low protein diet.... The Journal of Physiology, 563: 275_303",,,,,,,,,
yes,,comp_21,s_01,D_03,A_03,Reyes-Castro,2012,Maternal protein restriction in the,J022,rats,Wistar,protein,-,50%,10%,20%,protein content,,,,,no,yes,yes,yes,Zeiger_Rodent_RQ22-25,Zeiger_Rodent_RQ22-5_LP_isoc,1,43,pre+lact,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,199,10,10,10,90,5.6,0.05,5.1,0.04,16,16,20% casein control,yes,Zeiger_Rodent_RQ22-25,21,yes,90,EXPLORATION,ANXIETY,Open_Field,60,Center_zone_time,sec,yes,night,cc-rr,171.97,9.56,8,200.64,26.75,8,con_07,,,no,Fig.2,,no,"learning data extracted by Katie. details of diet can be found in Zambrano et al. 2005. A maternal low protein diet.... The Journal of Physiology, 563: 275_304",,,,,,,,,
yes,,comp_22,s_01,D_01,A_01,Reyes-Castro,2012,Maternal protein restriction in the,J022,rats,Wistar,protein,-,50%,10%,20%,protein content,,,,,no,yes,yes,yes,Zeiger_Rodent_RQ22-26,Zeiger_Rodent_RQ22-5_LP_isoc,1,22,pre,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,200,7,10,10,90,5.6,0.05,5.1,0.04,16,16,20% casein control,yes,Zeiger_Rodent_RQ22-26,1,yes,90,EXPLORATION,ANXIETY,Open_Field,60,Border_zone_time,sec,no,night,cc-rc,3477.71,22.29,8,3410.83,22.29,8,con_08,,,no,Fig.2,,no,"learning data extracted by Katie. details of diet can be found in Zambrano et al. 2005. A maternal low protein diet.... The Journal of Physiology, 563: 275_305",,,,,,,,,
yes,,comp_23,s_01,D_02,A_02,Reyes-Castro,2012,Maternal protein restriction in the,J022,rats,Wistar,protein,-,50%,10%,20%,protein content,,,,,no,yes,yes,yes,Zeiger_Rodent_RQ22-27,Zeiger_Rodent_RQ22-5_LP_isoc,22,43,lact,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,190,6,10,10,90,5.6,0.05,5.6,0.05,16,16,20% casein control,yes,Zeiger_Rodent_RQ22-27,21,yes,90,EXPLORATION,ANXIETY,Open_Field,60,Border_zone_time,sec,no,night,cc-cr,3388.54,44.58,8,3410.83,22.29,8,con_08,,,no,Fig.2,,no,"learning data extracted by Katie. details of diet can be found in Zambrano et al. 2005. A maternal low protein diet.... The Journal of Physiology, 563: 275_306",,,,,,,,,
yes,,comp_24,s_01,D_03,A_03,Reyes-Castro,2012,Maternal protein restriction in the,J022,rats,Wistar,protein,-,50%,10%,20%,protein content,,,,,no,yes,yes,yes,Zeiger_Rodent_RQ22-28,Zeiger_Rodent_RQ22-5_LP_isoc,1,43,pre+lact,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,199,10,10,10,90,5.6,0.05,5.1,0.04,16,16,20% casein control,yes,Zeiger_Rodent_RQ22-28,21,yes,90,EXPLORATION,ANXIETY,Open_Field,60,Border_zone_time,sec,no,night,cc-rr,3433.12,0,8,3410.83,22.29,8,con_08,,,no,Fig.2,,no,"learning data extracted by Katie. details of diet can be found in Zambrano et al. 2005. A maternal low protein diet.... The Journal of Physiology, 563: 275_307",,,,,,,,,
yes,,comp_25,s_01,D_01,A_01,Reyes-Castro,2012,Maternal protein restriction in the,J022,rats,Wistar,protein,-,50%,10%,20%,protein content,,,,,no,yes,yes,yes,Zeiger_Rodent_RQ22-29,Zeiger_Rodent_RQ22-5_LP_isoc,1,22,pre,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,200,7,10,10,90,5.6,0.05,5.1,0.04,16,16,20% casein control,yes,Zeiger_Rodent_RQ22-29,1,yes,90,EXPLORATION,ANXIETY,Open_Field,60,Center_zone_distance,m,yes,night,cc-rc,14.04,1.54,8,23.08,2.69,8,con_09,,,no,Fig.2,,no,"learning data extracted by Katie. details of diet can be found in Zambrano et al. 2005. A maternal low protein diet.... The Journal of Physiology, 563: 275_308",,,,,,,,,
yes,,comp_26,s_01,D_02,A_02,Reyes-Castro,2012,Maternal protein restriction in the,J022,rats,Wistar,protein,-,50%,10%,20%,protein content,,,,,no,yes,yes,yes,Zeiger_Rodent_RQ22-30,Zeiger_Rodent_RQ22-5_LP_isoc,22,43,lact,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,190,6,10,10,90,5.6,0.05,5.6,0.05,16,16,20% casein control,yes,Zeiger_Rodent_RQ22-30,21,yes,90,EXPLORATION,ANXIETY,Open_Field,60,Center_zone_distance,m,yes,night,cc-cr,15.96,2.88,8,23.08,2.69,8,con_09,,,no,Fig.2,,no,"learning data extracted by Katie. details of diet can be found in Zambrano et al. 2005. A maternal low protein diet.... The Journal of Physiology, 563: 275_309",,,,,,,,,
yes,,comp_27,s_01,D_03,A_03,Reyes-Castro,2012,Maternal protein restriction in the,J022,rats,Wistar,protein,-,50%,10%,20%,protein content,,,,,no,yes,yes,yes,Zeiger_Rodent_RQ22-31,Zeiger_Rodent_RQ22-5_LP_isoc,1,43,pre+lact,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,199,10,10,10,90,5.6,0.05,5.1,0.04,16,16,20% casein control,yes,Zeiger_Rodent_RQ22-31,21,yes,90,EXPLORATION,ANXIETY,Open_Field,60,Center_zone_distance,m,yes,night,cc-rr,13.85,1.15,8,23.08,2.69,8,con_09,,,no,Fig.2,,no,"learning data extracted by Katie. details of diet can be found in Zambrano et al. 2005. A maternal low protein diet.... The Journal of Physiology, 563: 275_310",,,,,,,,,
yes,,comp_28,s_01,D_01,A_01,Reyes-Castro,2012,Maternal protein restriction in the,J022,rats,Wistar,protein,-,50%,10%,20%,protein content,,,,,no,yes,yes,yes,Zeiger_Rodent_RQ22-32,Zeiger_Rodent_RQ22-5_LP_isoc,1,22,pre,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,200,7,10,10,90,5.6,0.05,5.1,0.04,16,16,20% casein control,yes,Zeiger_Rodent_RQ22-32,1,yes,90,EXPLORATION,ANXIETY,Open_Field,60,Border_zone_distance,m,no,night,cc-rc,119.36,16.15,8,128.3,6.28,8,con_10,,,no,Fig.2,,no,"learning data extracted by Katie. details of diet can be found in Zambrano et al. 2005. A maternal low protein diet.... The Journal of Physiology, 563: 275_311",,,,,,,,,
yes,,comp_29,s_01,D_02,A_02,Reyes-Castro,2012,Maternal protein restriction in the,J022,rats,Wistar,protein,-,50%,10%,20%,protein content,,,,,no,yes,yes,yes,Zeiger_Rodent_RQ22-33,Zeiger_Rodent_RQ22-5_LP_isoc,22,43,lact,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,190,6,10,10,90,5.6,0.05,5.6,0.05,16,16,20% casein control,yes,Zeiger_Rodent_RQ22-33,21,yes,90,EXPLORATION,ANXIETY,Open_Field,60,Border_zone_distance,m,no,night,cc-cr,112.18,11.67,8,128.3,6.28,8,con_10,,,no,Fig.2,,no,"learning data extracted by Katie. details of diet can be found in Zambrano et al. 2005. A maternal low protein diet.... The Journal of Physiology, 563: 275_312",,,,,,,,,
yes,,comp_30,s_01,D_03,A_03,Reyes-Castro,2012,Maternal protein restriction in the,J022,rats,Wistar,protein,-,50%,10%,20%,protein content,,,,,no,yes,yes,yes,Zeiger_Rodent_RQ22-34,Zeiger_Rodent_RQ22-5_LP_isoc,1,43,pre+lact,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,199,10,10,10,90,5.6,0.05,5.1,0.04,16,16,20% casein control,yes,Zeiger_Rodent_RQ22-34,21,yes,90,EXPLORATION,ANXIETY,Open_Field,60,Border_zone_distance,m,no,night,cc-rr,100.51,8.08,8,128.3,6.28,8,con_10,,,no,Fig.2,,no,"learning data extracted by Katie. details of diet can be found in Zambrano et al. 2005. A maternal low protein diet.... The Journal of Physiology, 563: 275_313",,,,,,,,,
yes,,comp_31,s_01,D_01,A_01,Reyes-Castro,2012,Maternal protein restriction in the,J022,rats,Wistar,protein,-,50%,10%,20%,protein content,,,,,no,yes,yes,yes,Zeiger_Rodent_RQ22-35,Zeiger_Rodent_RQ22-5_LP_isoc,1,22,pre,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,200,7,10,10,90,5.6,0.05,5.1,0.04,16,16,20% casein control,yes,Zeiger_Rodent_RQ22-35,1,yes,90,EXPLORATION,ACTIVITY,Open_Field,60,Total_distance,m,yes,night,cc-rc,133.5,19.36,8,150.83,9.17,8,con_11,,,no,Fig.2,,no,"learning data extracted by Katie. details of diet can be found in Zambrano et al. 2005. A maternal low protein diet.... The Journal of Physiology, 563: 275_314",,,,,,,,,
yes,,comp_32,s_01,D_02,A_02,Reyes-Castro,2012,Maternal protein restriction in the,J022,rats,Wistar,protein,-,50%,10%,20%,protein content,,,,,no,yes,yes,yes,Zeiger_Rodent_RQ22-36,Zeiger_Rodent_RQ22-5_LP_isoc,22,43,lact,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,190,6,10,10,90,5.6,0.05,5.6,0.05,16,16,20% casein control,yes,Zeiger_Rodent_RQ22-36,21,yes,90,EXPLORATION,ACTIVITY,Open_Field,60,Total_distance,m,yes,night,cc-cr,128.41,15.29,8,150.83,9.17,8,con_11,,,no,Fig.2,,no,"learning data extracted by Katie. details of diet can be found in Zambrano et al. 2005. A maternal low protein diet.... The Journal of Physiology, 563: 275_315",,,,,,,,,
yes,,comp_33,s_01,D_03,A_03,Reyes-Castro,2012,Maternal protein restriction in the,J022,rats,Wistar,protein,-,50%,10%,20%,protein content,,,,,no,yes,yes,yes,Zeiger_Rodent_RQ22-37,Zeiger_Rodent_RQ22-5_LP_isoc,1,43,pre+lact,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,199,10,10,10,90,5.6,0.05,5.1,0.04,16,16,20% casein control,yes,Zeiger_Rodent_RQ22-37,21,yes,90,EXPLORATION,ACTIVITY,Open_Field,60,Total_distance,m,yes,night,cc-rr,115.16,9.17,8,150.83,9.17,8,con_11,,,no,Fig.2,,no,"learning data extracted by Katie. details of diet can be found in Zambrano et al. 2005. A maternal low protein diet.... The Journal of Physiology, 563: 275_316",,,,,,,,,
